lead,length,model,region,subset,gcm_accuracy,obs_accuracy,gcm_acc_low,gcm_acc_high
0,60,GISS-E2-1-G,southern_ocean,top20,0.5975209448612144,0.5301135434778904,0.5315846362023543,0.6525291227495285
0,60,GISS-E2-1-G,north_atlantic,all,0.46767525769894835,0.4302168947774449,0.43928360667631133,0.4989216549709387
0,60,GISS-E2-1-G,north_atlantic,top40,0.5715705895619893,0.49941970504447303,0.523187093964779,0.6178248140821465
0,60,GISS-E2-1-G,north_atlantic,top20,0.6295575865998928,0.5457403084782592,0.5708696517293372,0.683929323967372
0,60,GISS-E2-1-G,tropical_atlantic,all,0.41659757179574,0.40989421829686445,0.39391417748933044,0.4489550270862941
0,60,GISS-E2-1-G,tropical_atlantic,top40,0.4787646666761017,0.47314434770419844,0.42300907792667836,0.5326484340269321
0,60,GISS-E2-1-G,tropical_atlantic,top20,0.5176471703201415,0.5260502533398166,0.4360995838658143,0.5791730764320719
0,60,GISS-E2-1-G,west_indian,all,0.4433917669617893,0.3431048094136993,0.4065155418171967,0.46607366570164577
0,60,GISS-E2-1-G,west_indian,top40,0.5241280657262687,0.3729174216689551,0.46704014166794056,0.5660319912173561
0,60,GISS-E2-1-G,west_indian,top20,0.5745566962611267,0.39641297994433294,0.5323705786536325,0.6121574575879452
0,60,IPSL-CM6A-LR,global,all,0.41233431956995226,0.39932306864766476,0.39652782341589576,0.4381470221663332
0,60,IPSL-CM6A-LR,global,top40,0.47162498615634035,0.45391206963879693,0.4415511603254053,0.5216437439922809
0,60,IPSL-CM6A-LR,global,top20,0.5090230711136353,0.4941332693637346,0.4677409603556646,0.5725533352184886
0,60,IPSL-CM6A-LR,north_pacific,all,0.42297791661670797,0.4272680007216609,0.4039545779299754,0.46079037317924093
0,60,IPSL-CM6A-LR,north_pacific,top40,0.4900173313792357,0.5101310135045858,0.45124070436179853,0.5572476339276928
0,60,IPSL-CM6A-LR,north_pacific,top20,0.5294931366813783,0.5764037642089382,0.48454815878953555,0.6065641038594317
0,60,IPSL-CM6A-LR,tropical_pacific,all,0.40561398406272586,0.4136875366959895,0.38102509659451955,0.4376017876467618
